nombreEscuela,seccionEscuela
EEM 1 - D.E. 20 - BIBLIOTECA DEL CONGRESO,5°D
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 20",5°1º
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 21",5°2º
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 22",5°3º
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 18",5°1º
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 19",5°2º
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 20",5°3º
"Escuela Superior de Educación Artística en Danza ""Aída Victoria Mastrazzi"" DE 01",5°1º
"Escuela Superior de Educación Artística en Danza ""Aída Victoria Mastrazzi"" DE 02",5°2º
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5°1º
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5°2º
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5°3º
"Escuela Superior de Educación Artística en Cerámica ""Fernando Arranz"" DE 18",5°1º
"Escuela Superior de Educación Artística en Cerámica ""Fernando Arranz"" DE 18",5°2
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 13",5°1º
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 14",5°1º
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 15",5°2º
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",5°A
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 22",5°C
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 23",5°B
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 24",5°D
"Escuela Superior de Educación Artística en Artes Visuales ""Manuel Belgrano"" DE 04",5°1º
"Escuela Superior de Educación Artística en Artes Visuales ""Manuel Belgrano"" DE 05",5°2º
Escuela Superior de Educación Artística en Teatro Nini Marshall DE 13,5°1º
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 15",5°1º
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 16",5°2º
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 17",5°3º
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 18",5°4º
