nombreEscuela,seccionEscuela
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TT
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TM
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TT
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TM
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TT
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,PLAN 5810
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°1° TM
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°1° TT
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°2° TM
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°2° TT
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°3° TM
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°3° TT
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°4° TM
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°1° TM
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°2° TT
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°3° TM
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,PLAN 5810
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TM
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TT
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TM
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TT
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°1° TT
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°2° TM
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°3° TM
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°4° TT
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°1° TT
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°2° TT
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°3° TT
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TM
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TT
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°2° TM
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°1° TN/V
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°2° TN/V
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°3° TN/V
Esc. de Comercio Nº 26 DE 01 Enrique de Vedia,PLAN 5810
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°1° TN/V
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°2° TN/V
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°1° TN/V
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°2° TN/V
Esc. de Comercio Nº 29 DE 07 Marina Mercante Argentina,PLAN 5810
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,PLAN 5810
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°1° TM
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°1° TT
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°2° TM
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°2° TT
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°3° TM
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°3° TT
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°4° TM
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°5° TM
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TM
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TT
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TM
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TT
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TM
