nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TT,Economía y Administración,19
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TM,Economía y Administración,20
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TT,Economía y Administración,23
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°1° TM,Cs. Soc y Humanidades,23
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TM,Economía y Administración,27
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TM,Cs. Soc y Humanidades,27
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TT,Economía y Administración,15
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TM,Economía y Administración,25
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TT,Cs. Soc y Humanidades,27
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°1° TM,Economía y Administración,19
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°2° TT,Economía y Administración,17
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°3° TM,Economía y Administración,18
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TM,Economía y Administración,16
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TT,Economía y Administración,16
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TM,Economía y Administración,22
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TT,Economía y Administración,14
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°1° TT,Economía y Administración,21
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°2° TM,Informática,18
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°3° TM,Economía y Administración,23
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°4° TT,Informática,22
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°1° TT,Economía y Administración,27
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°2° TT,Economía y Administración,23
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°3° TT,Artes Visuales,25
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TM,Economía y Administración,18
